donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,ultimo_salario_mensual_o_retiro_neto_en_tu_moneda_local,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,anos_de_experiencia,antigüedad_en_la_empresa_actual,tiempo_en_el_puesto_actual,cuantas_personas_a_cargo_tenes,tengo_edad,seniority
Buenos Aires,Full-Time,Staff (planta permanente),475480,396346,,,3,0,0,0,25,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),260000,220000,,,2,1,1,3,27,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),106350,88560,,,0,0,0,0,21,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),339000,283700,,,3,1,1,0,25,Semi-Senior
Río Negro,Full-Time,Staff (planta permanente),380000,320000,Mi sueldo está dolarizado (pero cobro en moneda local),179,0,0,0,0,24,Junior
Córdoba,Full-Time,Staff (planta permanente),140000,205000,,,12,1,1,4,38,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000,1200000,Mi sueldo está dolarizado (pero cobro en moneda local),314,19,4,1,5,37,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1170000,610000,Cobro parte del salario en dólares,170,7,2,2,2,28,Senior
Mendoza,Full-Time,Staff (planta permanente),1000000,800000,Cobro parte del salario en dólares,,5,0,0,0,28,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),650000,450000,,,13,2,2,0,39,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),405000,205000,Cobro parte del salario en dólares,156,7,5,0,0,26,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),414000,302000,,,1,0,0,0,37,Junior
Buenos Aires,Full-Time,Staff (planta permanente),1007000,633000,Cobro parte del salario en dólares,171,6,1,0,0,37,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1500000,1500000,Cobro todo el salario en dólares,,2,0,0,0,38,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),195000,161400,,,1.5,1.5,1.5,0,25,Junior
San Luis,Full-Time,Staff (planta permanente),90000,76000,,,0,0,0,0,22,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),296000,277000,,,7,2,1,0,28,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),420000,260000,,,4,1,1,0,40,Semi-Senior
