QR;FORMALIDAD;FMI;RELACIÓN DE TENECIA DEL XTF;LC_PREDIO;lc_estructura_novedad_numero_predial;lc_Novedad;JUSTIFICACION_NOVEDAD;CONTAR LC PREDIO;CONTAR LC ESTRUCTURA;CONDICIÓN DE LC PREDIO (22);NPN PROVISIONAL LC_PREDIO (18);CONDICION_LC_ESTRUCTURA_NOVEDAD (22);NPN PROVISIONAL LC_ESTRUCTURA (18);BUSCAR_LC_PREDIO;BUSCAR_LC_ESTRUCTURA;ESTADO_FMI;FMI_R2;CC VIGENTE
7316863019;Informal;32201;Posesion;73168000300000001A314200000000;73168000300000001A314200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010025000000000
7316863018;Informal;32201;Posesion;73168000300000001A313200000000;73168000300000001A313200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010025000000000
7316863017;Informal;32201;Posesion;73168000300000001A312200000000;73168000300000001A312200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010025000000000
7316863016;Informal;32201;Posesion;73168000300000001A311200000000;73168000300000001A311200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010025000000000
7316863015;Informal;32201;Posesion;73168000300000001A310200000000;73168000300000001A310200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010025000000000
7316863014;Informal;32201;Posesion;73168000300000001A309200000000;73168000300000001A309200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010025000000000
7316863012;Informal;32201;Posesion;73168000300000001A308200000000;73168000300000001A308200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010025000000000
7316862183;Informal;43148;Posesion;73168000300000001A368200000000;731680003000000010040000000000;Cambio_Numero_Predial;Cambio de número predial por cambio de condición de propiedad;1;1;2;A;0;0;NO ESTA;731680003000000010040000000000;ACTIVO;NO ESTA;731680003000000010040000000000
7316862182;Formal;54965;Dominio;73168000300000001A608000000000;731680003000000010025000000000;Desenglobe;Predio formal no inscrito en la base de datos catastral;1;8;0;A;0;0;NO ESTA;731680003000000010025000000000;ACTIVO;NO ESTA;731680003000000010025000000000
7316862170;Formal;48460;Dominio;731680003000000010126000000000;731680003000000010126000000000;Ninguna;;1;1;0;0;0;0;731680003000000010126000000000;731680003000000010126000000000;ACTIVO;48460;731680003000000010126000000000
7316862169;Formal;48458;Dominio;731680003000000010153000000000;731680003000000010153000000000;Ninguna;;1;1;0;0;0;0;731680003000000010153000000000;731680003000000010153000000000;ACTIVO;48458;731680003000000010153000000000
7316862165;Formal;45427;Dominio;731680003000000010066000000000;731680003000000010066000000000;Ninguna;;1;1;0;0;0;0;731680003000000010066000000000;731680003000000010066000000000;ACTIVO;45427;731680003000000010066000000000
7316862163;Formal;49623;Dominio;731680003000000010150000000000;731680003000000010150000000000;Ninguna;;1;1;0;0;0;0;731680003000000010150000000000;731680003000000010150000000000;ACTIVO;49623;731680003000000010150000000000
7316862161;Formal;44502;Dominio;731680003000000010082000000000;731680003000000010082000000000;Ninguna;;1;1;0;0;0;0;731680003000000010082000000000;731680003000000010082000000000;ACTIVO;44502;731680003000000010082000000000
7316862160;Formal;44508;Dominio;731680003000000010083000000000;731680003000000010083000000000;Ninguna;;1;1;0;0;0;0;731680003000000010083000000000;731680003000000010083000000000;ACTIVO;44508;731680003000000010083000000000
7316862018;Informal;32201;Posesion;73168000300000001A307200000000;73168000300000001A307200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010025000000000
7316863072;Informal;43871;Posesion;73168000300000001A040200000000;73168000300000001A040200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010025000000000
7316863074;Informal;43871;Posesion;73168000300000001A039200000000;73168000300000001A039200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010025000000000
7316863070;Informal;43871;Posesion;73168000300000001A038200000000;73168000300000001A038200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010025000000000
7316863069;Informal;43871;Posesion;73168000300000001A037200000000;73168000300000001A037200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010025000000000
7316863076;Informal;43871;Posesion;73168000300000001A036200000000;73168000300000001A036200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010025000000000
7316863073;Informal;43871;Posesion;73168000300000001A035200000000;73168000300000001A035200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010025000000000
7316824508;Formal;43938;Dominio;731680003000000010065000000000;731680003000000010065000000000;Ninguna;;1;1;0;0;0;0;731680003000000010065000000000;731680003000000010065000000000;ACTIVO;43938;731680003000000010065000000000
7316824504;Formal;42884;Dominio;731680003000000010101000000000;731680003000000010101000000000;Ninguna;;1;1;0;0;0;0;731680003000000010101000000000;731680003000000010101000000000;ACTIVO;42884;731680003000000010101000000000
7316860027;Formal;44707;Dominio;731680003000000010098000000000;731680003000000010098000000000;Ninguna;;1;1;0;0;0;0;731680003000000010098000000000;731680003000000010098000000000;ACTIVO;44707;731680003000000010098000000000
7316862174;Formal;43810;Dominio;731680003000000010079000000000;731680003000000010079000000000;Ninguna;;1;1;0;0;0;0;731680003000000010079000000000;731680003000000010079000000000;ACTIVO;43810;731680003000000010079000000000
7316822921;Formal;43232;Dominio;731680003000000010078000000000;731680003000000010078000000000;Ninguna;;1;1;0;0;0;0;731680003000000010078000000000;731680003000000010078000000000;ACTIVO;43232;731680003000000010078000000000
7316822916;Formal;44462;Dominio;731680003000000010054000000000;731680003000000010054000000000;Ninguna;;1;1;0;0;0;0;731680003000000010054000000000;731680003000000010054000000000;ACTIVO;44462;731680003000000010054000000000
